"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"oncofair-medicationadministration-element","MedicationAdministration.status","MedicationAdministration.status","","","",1,1,"","Y","Y","code {[]} {[]}
","in-progress | not-done | on-hold | completed | entered-in-error | stopped | unknown","Will generally be set to show that the administration has been completed.  For some long running administrations such as infusions, it is possible for an administration to be started but not completed or it may be paused while some other process is under way.","This element is labeled as a modifier because the status contains codes that mark the resource as not currently valid.","","","","","","","","",,"required","A set of codes indicating the current status of a MedicationAdministration.","http://hl7.org/fhir/ValueSet/medication-admin-status|5.0.0","",,,,"MedicationAdministration.status",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-medicationadministration-element","MedicationAdministration.statusReason","MedicationAdministration.statusReason","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Reason administration not performed","A code indicating why the administration was not performed.","","","","","","","","","",,"example","A set of codes indicating the reason why the MedicationAdministration is negated.","http://hl7.org/fhir/ValueSet/reason-medication-not-given-codes","",,,,"MedicationAdministration.statusReason",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-medicationadministration-element","MedicationAdministration.category","MedicationAdministration.category","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Type of medication administration","The type of medication administration (for example, drug classification like ATC, where meds would be administered, legal category of the medication).","","","","","","","","","",,"example","A coded concept describing where the medication administered is expected to occur.","http://hl7.org/fhir/ValueSet/medication-admin-location","",,,,"MedicationAdministration.category",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-medicationadministration-element","MedicationAdministration.medication","MedicationAdministration.medication","","","",1,1,"","","Y","CodeableReference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Medication]]}
","What was administered","Identifies the medication that was administered. This is either a link to a resource representing the details of the medication or a simple attribute carrying a code that identifies the medication from a known list of medications.","If only a code is specified, then it needs to be a code for a specific product. If more information is required, then the use of the medication resource is recommended.  For example, if you require form or lot number, then you must reference the Medication resource.","","","","","","","","",,"example","Codes identifying substance or product that can be administered.","http://hl7.org/fhir/ValueSet/medication-codes","",,,,"MedicationAdministration.medication",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-medicationadministration-element","MedicationAdministration.subject","MedicationAdministration.subject","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient], CanonicalType[http://hl7.org/fhir/StructureDefinition/Group]]}
","Who received medication","The person or animal or group receiving the medication.","","","","","","","","","",,,,,"",,,,"MedicationAdministration.subject",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-medicationadministration-element","MedicationAdministration.encounter","MedicationAdministration.encounter","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Encounter]]}
","Encounter administered as part of","The visit, admission, or other contact between patient and health care provider during which the medication administration was performed.","","","","","","","","","",,,,,"",,,,"MedicationAdministration.encounter",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-medicationadministration-element","MedicationAdministration.supportingInformation","MedicationAdministration.supportingInformation","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Resource]]}
","Additional information to support administration","Additional information (for example, patient height and weight) that supports the administration of the medication.  This attribute can be used to provide documentation of specific characteristics of the patient present at the time of administration.  For example, if the dose says ""give ""x"" if the heartrate exceeds ""y"""", then the heart rate can be included using this attribute.","","","","","","","","","",,,,,"",,,,"MedicationAdministration.supportingInformation",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-medicationadministration-element","MedicationAdministration.occurence[x]","MedicationAdministration.occurence[x]","","","",1,1,"","","Y","dateTime {[]} {[]}
Period {[]} {[]}Timing {[]} {[]}","Specific date/time or interval of time during which the administration took place (or did not take place)","A specific date/time or interval of time during which the administration took place (or did not take place). For many administrations, such as swallowing a tablet the use of dateTime is more appropriate.","","","","","","","","","",,,,,"",,,,"MedicationAdministration.occurence[x]",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-medicationadministration-element","MedicationAdministration.recorded","MedicationAdministration.recorded","","","",0,1,"","","Y","dateTime {[]} {[]}
","When the MedicationAdministration was first captured in the subject's record","The date the occurrence of the  MedicationAdministration was first captured in the record - potentially significantly after the occurrence of the event.","","","","","","","","","",,,,,"",,,,"MedicationAdministration.recorded",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-medicationadministration-element","MedicationAdministration.isSubPotent","MedicationAdministration.isSubPotent","","","",0,1,"","","","boolean {[]} {[]}
","Full dose was not administered","An indication that the full dose was not administered.","","","","","","","","","",,,,,"",,,,"MedicationAdministration.isSubPotent",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-medicationadministration-element","MedicationAdministration.subPotentReason","MedicationAdministration.subPotentReason","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Reason full dose was not administered","The reason or reasons why the full dose was not administered.","","","","","","","","","",,"example","","http://hl7.org/fhir/ValueSet/administration-subpotent-reason","",,,,"MedicationAdministration.subPotentReason",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-medicationadministration-element","MedicationAdministration.performer","MedicationAdministration.performer","","","",0,*,"","","Y","BackboneElement {[]} {[]}
","Who or what performed the medication administration and what type of performance they did","The performer of the medication treatment.  For devices this is the device that performed the administration of the medication.  An IV Pump would be an example of a device that is performing the administration. Both the IV Pump and the practitioner that set the rate or bolus on the pump can be listed as performers.","","","","","","","","","",,,,,"",,,,"MedicationAdministration.performer",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-medicationadministration-element","MedicationAdministration.performer.id","MedicationAdministration.performer.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"oncofair-medicationadministration-element","MedicationAdministration.performer.extension","MedicationAdministration.performer.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"oncofair-medicationadministration-element","MedicationAdministration.performer.modifierExtension","MedicationAdministration.performer.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"oncofair-medicationadministration-element","MedicationAdministration.performer.function","MedicationAdministration.performer.function","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Type of performance","Distinguishes the type of involvement of the performer in the medication administration.","","","","","","","","","",,"example","A code describing the role an individual played in administering the medication.","http://hl7.org/fhir/ValueSet/med-admin-perform-function","",,,,"MedicationAdministration.performer.function",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-medicationadministration-element","MedicationAdministration.performer.actor","MedicationAdministration.performer.actor","","","",1,1,"","","Y","CodeableReference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Practitioner], CanonicalType[http://hl7.org/fhir/StructureDefinition/PractitionerRole], CanonicalType[http://hl7.org/fhir/StructureDefinition/Patient], CanonicalType[http://hl7.org/fhir/StructureDefinition/RelatedPerson], CanonicalType[http://hl7.org/fhir/StructureDefinition/Device]]}
","Who or what performed the medication administration","Indicates who or what performed the medication administration.","","","","","","","","","",,,,,"",,,,"MedicationAdministration.performer.actor",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-medicationadministration-element","MedicationAdministration.reason","MedicationAdministration.reason","","","",0,*,"","","","CodeableReference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Condition], CanonicalType[http://hl7.org/fhir/StructureDefinition/Observation], CanonicalType[http://hl7.org/fhir/StructureDefinition/DiagnosticReport]]}
","Concept, condition or observation that supports why the medication was administered","A code, Condition or observation that supports why the medication was administered.","","","","","","","","","",,"example","A set of codes indicating the reason why the MedicationAdministration was made.","http://hl7.org/fhir/ValueSet/reason-medication-given-codes","",,,,"MedicationAdministration.reason",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-medicationadministration-element","MedicationAdministration.request","MedicationAdministration.request","","","",0,1,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/MedicationRequest]]}
","Request administration performed against","The original request, instruction or authority to perform the administration.","This is a reference to the MedicationRequest  where the intent is either order or instance-order.  It should not reference MedicationRequests where the intent is any other value.","","","","","","","","",,,,,"",,,,"MedicationAdministration.request",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-medicationadministration-element","MedicationAdministration.device","MedicationAdministration.device","","","",0,*,"Y","","","CodeableReference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Device]]}
","Device used to administer","The device that is to be used for the administration of the medication (for example, PCA Pump).","","","","","","","","","",,,,,"",,,,"MedicationAdministration.device",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-medicationadministration-element","MedicationAdministration.note","MedicationAdministration.note","","","",0,*,"","","","Annotation {[]} {[]}
","Information about the administration","Extra information about the medication administration that is not conveyed by the other attributes.","","","","","","","","","",,,,,"",,,,"MedicationAdministration.note",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-medicationadministration-element","MedicationAdministration.dosage","MedicationAdministration.dosage","","","",0,1,"","","","BackboneElement {[]} {[]}
","Details of how medication was taken","Describes the medication dosage information details e.g. dose, rate, site, route, etc.","","","","","","","","","",,,,,"",,,,"MedicationAdministration.dosage",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
mad-1:If dosage attribute is present then SHALL have at least one of dosage.text or dosage.dose or dosage.rate[x] {(dose.exists() or rate.exists() or text.exists())}"
"oncofair-medicationadministration-element","MedicationAdministration.dosage.id","MedicationAdministration.dosage.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"oncofair-medicationadministration-element","MedicationAdministration.dosage.extension","MedicationAdministration.dosage.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"oncofair-medicationadministration-element","MedicationAdministration.dosage.modifierExtension","MedicationAdministration.dosage.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"oncofair-medicationadministration-element","MedicationAdministration.dosage.text","MedicationAdministration.dosage.text","","","",0,1,"","","","string {[]} {[]}
","Free text dosage instructions e.g. SIG","Free text dosage can be used for cases where the dosage administered is too complex to code. When coded dosage is present, the free text dosage may still be present for display to humans.The dosage instructions should reflect the dosage of the medication that was administered.","","","","","","","","","",,,,,"",,,,"MedicationAdministration.dosage.text",0,1,"mad-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-medicationadministration-element","MedicationAdministration.dosage.site","MedicationAdministration.dosage.site","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Body site administered to","A coded specification of the anatomic site where the medication first entered the body.  For example, ""left arm"".","If the use case requires attributes from the BodySite resource (e.g. to identify and track separately) then use the standard extension [http://hl7.org/fhir/StructureDefinition/bodySite](http://hl7.org/fhir/extensions/StructureDefinition-bodySite.html).  May be a summary code, or a reference to a very precise definition of the location, or both.","","","","","","","","",,"example","A coded concept describing the site location the medicine enters into or onto the body.","http://hl7.org/fhir/ValueSet/approach-site-codes","",,,,"MedicationAdministration.dosage.site",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-medicationadministration-element","MedicationAdministration.dosage.route","MedicationAdministration.dosage.route","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Path of substance into body","A code specifying the route or physiological path of administration of a therapeutic agent into or onto the patient.  For example, topical, intravenous, etc.","","","","","","","","","",,"example","A coded concept describing the route or physiological path of administration of a therapeutic agent into or onto the body of a subject.","http://hl7.org/fhir/ValueSet/route-codes","",,,,"MedicationAdministration.dosage.route",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-medicationadministration-element","MedicationAdministration.dosage.method","MedicationAdministration.dosage.method","","","",0,1,"","","","CodeableConcept {[]} {[]}
","How drug was administered","A coded value indicating the method by which the medication is intended to be or was introduced into or on the body.  This attribute will most often NOT be populated.  It is most commonly used for injections.  For example, Slow Push, Deep IV.","One of the reasons this attribute is not used often, is that the method is often pre-coordinated with the route and/or form of administration.  This means the codes used in route or form may pre-coordinate the method in the route code or the form code.  The implementation decision about what coding system to use for route or form code will determine how frequently the method code will be populated e.g. if route or form code pre-coordinate method code, then this attribute will not be populated often; if there is no pre-coordination then method code may  be used frequently.","","","","","","","","",,"example","A coded concept describing the technique by which the medicine is administered.","http://hl7.org/fhir/ValueSet/administration-method-codes","",,,,"MedicationAdministration.dosage.method",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-medicationadministration-element","MedicationAdministration.dosage.dose","MedicationAdministration.dosage.dose","","","",0,1,"","","","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}
","Amount of medication per dose","The amount of the medication given at one administration event.   Use this value when the administration is essentially an instantaneous event such as a swallowing a tablet or giving an injection.","If the administration is not instantaneous (rate is present), this can be specified to convey the total amount administered over period of time of a single administration.","","","","","","","","",,,,,"",,,,"MedicationAdministration.dosage.dose",0,1,"mad-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-medicationadministration-element","MedicationAdministration.dosage.rate[x]","MedicationAdministration.dosage.rate[x]","","","",0,1,"","","","Ratio {[]} {[]}
Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity]]} {[]}","Dose quantity per unit of time","Identifies the speed with which the medication was or will be introduced into the patient.  Typically, the rate for an infusion e.g. 100 ml per 1 hour or 100 ml/hr.  May also be expressed as a rate per unit of time, e.g. 500 ml per 2 hours.  Other examples:  200 mcg/min or 200 mcg/1 minute; 1 liter/8 hours.","If the rate changes over time, and you want to capture this in MedicationAdministration, then each change should be captured as a distinct MedicationAdministration, with a specific MedicationAdministration.dosage.rate, and the date time when the rate change occurred. Typically, the MedicationAdministration.dosage.rate element is not used to convey an average rate.","","","","","","","","",,,,,"",,,,"MedicationAdministration.dosage.rate[x]",0,1,"mad-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-medicationadministration-element","MedicationAdministration.eventHistory","MedicationAdministration.eventHistory","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Provenance]]}
","A list of events of interest in the lifecycle","A summary of the events of interest that have occurred, such as when the administration was verified.","This might not include provenances for all versions of the request – only those deemed “relevant” or important. This SHALL NOT include the Provenance associated with this current version of the resource. (If that provenance is deemed to be a “relevant” change, it will need to be added as part of a later update. Until then, it can be queried directly as the Provenance that points to this version using _revinclude All Provenances should have some historical version of this Request as their subject.","","","","","","","","",,,,,"",,,,"MedicationAdministration.eventHistory",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-medicationadministration-report","MedicationAdministration","MedicationAdministration","","","",0,*,"","","","null {[]} {[]}
","Administration of medication to a patient","Describes the event of a patient consuming or otherwise being administered a medication.  This may be as simple as swallowing a tablet or it may be a long running infusion.  Related resources tie this event to the authorizing prescription, and the specific encounter between patient and health care practitioner.","","","","","","","","","",,,,,"",,,,"MedicationAdministration",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().ofType(canonical) | %resource.descendants().ofType(uri) | %resource.descendants().ofType(url))) or descendants().where(reference = '#').exists() or descendants().where(ofType(canonical) = '#').exists() or descendants().where(ofType(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}"
"oncofair-medicationadministration-report","MedicationAdministration.id","MedicationAdministration.id","","","",0,1,"","","Y","id {[]} {[]}
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","Within the context of the FHIR RESTful interactions, the resource has an id except for cases like the create and conditional update. Otherwise, the use of the resouce id depends on the given use case.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"oncofair-medicationadministration-report","MedicationAdministration.meta","MedicationAdministration.meta","","","",0,1,"","","Y","Meta {[]} {[]}
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content might not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-medicationadministration-report","MedicationAdministration.implicitRules","MedicationAdministration.implicitRules","","","",0,1,"","Y","Y","uri {[]} {[]}
","A set of rules under which this content was created","A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content. Often, this is a reference to an implementation guide that defines the special rules along with other profiles etc.","Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element. Often, when used, the URL is a reference to an implementation guide that defines these special rules as part of its narrative along with other profiles, value sets, etc.","","","","","","","","",,,,,"",,,,"Resource.implicitRules",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-medicationadministration-report","MedicationAdministration.language","MedicationAdministration.language","","","",0,1,"","","","code {[]} {[]}
","Language of the resource content","The base language in which the resource is written.","Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource. Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).","","","","","","","","",,"required","IETF language tag for a human language","http://hl7.org/fhir/ValueSet/all-languages|5.0.0","",,,,"Resource.language",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-medicationadministration-report","MedicationAdministration.text","MedicationAdministration.text","","narrative
htmlxhtmldisplay","",0,1,"","","","Narrative {[]} {[]}
","Text summary of the resource, for human interpretation","A human-readable narrative that contains a summary of the resource and can be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it ""clinically safe"" for a human to just read the narrative. Resource definitions may define what content should be represented in the narrative to ensure clinical safety.","Contained resources do not have a narrative. Resources that are not contained SHOULD have a narrative. In some cases, a resource may only have text with little or no additional discrete data (as long as all minOccurs=1 elements are satisfied).  This may be necessary for data from legacy systems where information is captured as a ""text blob"" or where text is additionally entered raw or narrated and encoded information is added later.","","","","","","","","",,,,,"",,,,"DomainResource.text",0,1,"dom-6
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-medicationadministration-report","MedicationAdministration.contained","MedicationAdministration.contained","","inline resources
anonymous resourcescontained resources","",0,*,"","","","Resource {[]} {[]}
","Contained, inline Resources","These resources do not have an independent existence apart from the resource that contains them - they cannot be identified independently, nor can they have their own independent transaction scope. This is allowed to be a Parameters resource if and only if it is referenced by a resource that provides context/meaning.","This should never be done when the content can be identified properly, as once identification is lost, it is extremely difficult (and context dependent) to restore it again. Contained resources may have profiles and tags in their meta elements, but SHALL NOT have security labels.","","","","","","","","",,,,,"",,,,"DomainResource.contained",0,*,"dom-2
dom-4dom-3dom-5",""
"oncofair-medicationadministration-report","MedicationAdministration.extension","MedicationAdministration.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the resource. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"oncofair-medicationadministration-report","MedicationAdministration.modifierExtension","MedicationAdministration.modifierExtension","","extensions
user content","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored","May be used to represent additional information that is not part of the basic definition of the resource and that modifies the understanding of the element that contains it and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"DomainResource.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"oncofair-medicationadministration-report","MedicationAdministration.identifier","MedicationAdministration.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","External identifier","Identifiers associated with this Medication Administration that are defined by business processes and/or used to refer to it when a direct URL reference to the resource itself is not appropriate. They are business identifiers assigned to this resource by the performer or other systems and remain constant as the resource is updated and propagates from server to server.","This is a business identifier, not a resource identifier.","","","","","","","","",,,,,"",,,,"MedicationAdministration.identifier",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"oncofair-medicationadministration-report","MedicationAdministration.basedOn","MedicationAdministration.basedOn","","","",0,*,"","","","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/CarePlan]]}
","Plan this is fulfilled by this administration","A plan that is fulfilled in whole or in part by this MedicationAdministration.","","","","","","","","","",,,,,"",,,,"MedicationAdministration.basedOn",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
